1.3.3	1.0.0	Access Information	Container				Attributes of the resource which pertain to how to acquire the resource, availability and storage format.
1.3.3	1.0.0	Access Rights	Enumeration	Access Rights			Permissions granted or denied by the host of a product to allow other users to access and use the resource.
1.3.3	1.0.0	Access URL	Container				Attributes of the method of acquiring a resource including a URL, name and description.
1.3.3	1.0.0	Acknowledgement	Text				The individual, group or organization which should be acknowledged when the data is used in or contributes to a presentation or publication.
1.3.3	1.3.0	Active Region	Item				A localized, transient volume of the solar atmosphere in which PLAGEs, SUNSPOTS, FACULAe, FLAREs, etc. may be observed.
1.3.3	1.0.0	Activity Index	Item				An indication, derived from one or more measurements, of the level of activity of an object or region, such as sunspot number, F10.7 flux, Dst, or the Polar Cap Indices.
1.3.3	1.0.0	Address	Text				Directions for finding some location; written on letters or packages that are to be delivered to that location.
1.3.3	1.0.0	Aerosol	Item				A suspension of fine solid or liquid particles in gas.
1.3.3	1.0.0	Alfven Mach Number	Item				The ratio of the bulk flow speed to the Alfven speed.
1.3.3	1.0.0	Alpha Particle	Item				A positively charged nuclear particle that consists of two protons and two neutrons.
1.3.3	1.1.0	Alternate Name	Text				An alternative or shortened name used to refer to a resource. This includes acronyms, expanded names or synonym for a resource.
1.3.3	1.3.1	Ancillary	Item				A complementary item which can be subordinate, subsidiary, auxiliary, supplementary to the primary item. 
1.3.3	1.2.1	Anisotropy	Item				Direction-dependent property.
1.3.3	1.0.0	Antenna	Item				A sensor used to measure electric potential.
1.3.3	1.2.1	Archive Specialist	Item				An individual who is an expert on a collection of resources and may also be knowledgable of the phenomenon and related physics represented by the resources. This includes librarians, curators, archive scientists and other experts.
1.3.3	1.0.0	ASCII	Item				A sequence of characters that adheres to American Standard Code for Information Interchange (ASCII) which is an 7-bit character-coding scheme.
1.3.3	1.3.3	Association	Container				Attributes of a relationship a resource has with another resource.
1.3.3	1.1.0	Association ID	Text				The resource identifier for a resource with which this resource is closely associated.
1.3.3	1.3.3	Association Type	Enumeration	Association Type			A characterization of the role or purpose of an associated resource.
1.3.3	1.2.0	Asteroid	Item				A small extraterrestrial body consisting mostly of rock and metal that is in orbit around the sun.
1.3.3	1.1.0	Atmosphere	Item				The neutral gases surrounding a body that extends from the surface and is bound to the body by virtue of the gravitational attraction.
1.3.3	1.1.0	Atomic Number	Numeric				The the number of protons in the nucleus of an atom.
1.3.3	1.2.0	Aurora	Item				An atmospheric phenomenon consisting of bands of light caused by charged solar particles following the earth's magnetic lines of force.
1.3.3	1.1.0	Auroral Region	Item				The region in the atmospheric where electrically-charged particles bombarding the upper atmosphere of a planet in the presence of a magnetic field produce an opitcal phenomenum.
1.3.3	1.0.0	Availability	Enumeration	Availability			An indication of the method or service which may be used to access the resource.
1.3.3	1.0.0	Average	Item				The statistical mean; the sum of a set of values divided by the number of values in the set.
1.3.3	1.0.0	Average Charge State	Item				A measure of the composite deficit (positive) or excess (negative) of electrons with respect to protons.
1.3.3	1.0.0	AVI	Item				Audio Video Interleave (AVI) a digital format for movies that conforms to the Microsoft Windows Resource Interchange File Format (RIFF).
1.3.3	1.3.1	Axis Label	Text				A short character string (approximately 10 characters, but preferably 6 characters - more only if absolutely required for clarity) which can be used to label a y-axis for a plot or to provide a heading for a data listing.
1.3.3	1.1.0	Azimuthal Angle Range	Container				The range of possible azimuthal angles for a group of energy observations.  Default units are degrees.
1.3.3	1.3.0	Band Name	Text				A common or provider assigned name for a range of values.
1.3.3	1.1.0	Base64	Item				A data encoding scheme whereby binary-encoded data is converted to printable ASCII characters. It is defined as a MIME content transfer encoding for use in internet e-mail. The only characters used are the upper- and lower-case Roman alphabet characters (A–Z, a–z), the numerals (0–9), and the "+" and "/" symbols, with the "=" symbol as a special suffix (padding) code.
1.3.3	1.1.0	Bin	Container				A grouping of observations according to a band or window of a common attribute.
1.3.3	1.0.0	Binary	Item				A direct representation of the bits which may be stored in memory on a computer.
1.3.3	1.0.0	Bow Shock Crossing	Item				A crossing of the boundary between the undisturbed (except for foreshock effects) solar wind and the shocked, decelerated solar wind of the magnetosheath.
1.3.3	1.3.1	Browse	Item				A representation of an image which is suitable to reveal most or all of the details of the image. 
1.3.3	1.0.0	BZIP2	Item				An open standard algorithm by Julian Seward using Burrows-Wheeler block sorting and Huffman coding. See <http://www.bzip.org/>
1.3.3	1.2.1	Ca-K	Item				A spectrum with a wavelength of range centered near 393.5 nm. VSO nickname: Ca-K image with range of 391.9 nm to 395.2 nm.
1.3.3	1.0.0	Cadence	Duration				The time interval between the start of successive measurements.
1.3.3	1.0.0	Calibrated	Item				Data wherein sensor outputs have been convolved with instrument response function, often irreversibly, to yield physical parameter values.
1.3.3	1.2.1	Carrington	Item				A coordinate system which is centered at the Sun and is "fixed" with repsect to the synodic rotation rate; the mean synodic value is about 27.2753 days. The Astronomical Almanac gives a value for Carrington longitude of 349.03 degrees at 0000 UT on 1 January 1995.
